id,name,carrier_id,carrier_name,carrier_state,premium,deductible,coverage_type,network_type,benefits,exclusions,rating,last_updated
plan_CA_73,Aetna Silver Plan 2,40733,Aetna,CA,309.0,2371.0,individual,ppo,"Preventive Care, Emergency Services, Prescription Drugs, Mental Health, Dental","Cosmetic Surgery, Experimental Treatments",4.5,2025-10-23T20:00:28.352987
plan_CA_72,Aetna Standard Plan 1,40733,Aetna,CA,404.0,1867.0,individual,ppo,"Preventive Care, Emergency Services, Prescription Drugs, Mental Health, Dental","Cosmetic Surgery, Experimental Treatments",4.3,2025-10-23T20:00:28.352987
plan_CA_8,American Medical Security Life Ins Co Basic Plan 3,24766,American Medical Security Life Ins Co,CA,249.0,2130.0,individual,ppo,"Preventive Care, Emergency Services, Prescription Drugs","Cosmetic Surgery, Experimental Treatments",3.9,2025-10-23T20:00:28.343988
plan_CA_9,American Medical Security Life Ins Co Silver Plan 4,24766,American Medical Security Life Ins Co,CA,468.0,1197.0,individual,ppo,"Preventive Care, Emergency Services, Prescription Drugs, Mental Health, Dental","Cosmetic Surgery, Experimental Treatments",4.4,2025-10-23T20:00:28.343988
plan_CA_7,American Medical Security Life Ins Co Silver Plan 2,24766,American Medical Security Life Ins Co,CA,584.0,1344.0,individual,ppo,"Preventive Care, Emergency Services, Prescription Drugs, Mental Health, Dental","Cosmetic Surgery, Experimental Treatments",3.7,2025-10-23T20:00:28.343988
plan_CA_6,American Medical Security Life Ins Co Premium Plan 1,24766,American Medical Security Life Ins Co,CA,606.0,1001.0,individual,ppo,"Preventive Care, Emergency Services, Prescription Drugs, Mental Health, Dental, Vision, Maternity Care","Cosmetic Surgery, Experimental Treatments",4.6,2025-10-23T20:00:28.342987
plan_CA_69,Assurant Health Basic Plan 2,64198,Assurant Health,CA,246.0,2653.0,individual,ppo,"Preventive Care, Emergency Services, Prescription Drugs","Cosmetic Surgery, Experimental Treatments",4.2,2025-10-23T20:00:28.352987
plan_CA_70,Assurant Health Bronze Plan 3,64198,Assurant Health,CA,255.0,1968.0,individual,ppo,"Preventive Care, Emergency Services, Prescription Drugs","Cosmetic Surgery, Experimental Treatments",3.6,2025-10-23T20:00:28.352987
plan_CA_1,Assurant Health Basic Plan 2,46471,Assurant Health,CA,291.0,1149.0,individual,ppo,"Preventive Care, Emergency Services, Prescription Drugs","Cosmetic Surgery, Experimental Treatments",4.1,2025-10-23T20:00:28.341987
plan_CA_2,Assurant Health Basic Plan 3,46471,Assurant Health,CA,298.0,1262.0,individual,ppo,"Preventive Care, Emergency Services, Prescription Drugs","Cosmetic Surgery, Experimental Treatments",4.1,2025-10-23T20:00:28.341987
plan_CA_71,Assurant Health Basic Plan 4,64198,Assurant Health,CA,393.0,2207.0,individual,ppo,"Preventive Care, Emergency Services, Prescription Drugs","Cosmetic Surgery, Experimental Treatments",4.2,2025-10-23T20:00:28.352987
plan_CA_68,Assurant Health Standard Plan 1,64198,Assurant Health,CA,394.0,2478.0,individual,ppo,"Preventive Care, Emergency Services, Prescription Drugs, Mental Health, Dental","Cosmetic Surgery, Experimental Treatments",3.7,2025-10-23T20:00:28.352987
plan_CA_66,Assurant Health Standard Plan 2,87997,Assurant Health,CA,449.0,1920.0,individual,ppo,"Preventive Care, Emergency Services, Prescription Drugs, Mental Health, Dental","Cosmetic Surgery, Experimental Treatments",4.1,2025-10-23T20:00:28.351987
plan_CA_65,Assurant Health Gold Plan 1,87997,Assurant Health,CA,504.0,1280.0,individual,ppo,"Preventive Care, Emergency Services, Prescription Drugs, Mental Health, Dental, Vision, Maternity Care","Cosmetic Surgery, Experimental Treatments",4.3,2025-10-23T20:00:28.351987
plan_CA_0,Assurant Health Gold Plan 1,46471,Assurant Health,CA,548.0,1359.0,individual,ppo,"Preventive Care, Emergency Services, Prescription Drugs, Mental Health, Dental, Vision, Maternity Care","Cosmetic Surgery, Experimental Treatments",3.6,2025-10-23T20:00:28.341987
plan_CA_67,Assurant Health Premium Plan 3,87997,Assurant Health,CA,551.0,1104.0,individual,ppo,"Preventive Care, Emergency Services, Prescription Drugs, Mental Health, Dental, Vision, Maternity Care","Cosmetic Surgery, Experimental Treatments",4.0,2025-10-23T20:00:28.351987
plan_CA_46,Blue Shield of California Basic Plan 3,80046,Blue Shield of California,CA,342.0,2284.0,individual,ppo,"Preventive Care, Emergency Services, Prescription Drugs","Cosmetic Surgery, Experimental Treatments",3.7,2025-10-23T20:00:28.348989
plan_CA_45,Blue Shield of California Bronze Plan 2,80046,Blue Shield of California,CA,386.0,2741.0,individual,ppo,"Preventive Care, Emergency Services, Prescription Drugs","Cosmetic Surgery, Experimental Treatments",4.4,2025-10-23T20:00:28.348989
plan_CA_44,Blue Shield of California Standard Plan 1,80046,Blue Shield of California,CA,499.0,2373.0,individual,ppo,"Preventive Care, Emergency Services, Prescription Drugs, Mental Health, Dental","Cosmetic Surgery, Experimental Treatments",4.1,2025-10-23T20:00:28.348989
plan_CA_18,Care1st Helth Plan Bronze Plan 2,33843,Care1st Helth Plan,CA,294.0,1602.0,individual,ppo,"Preventive Care, Emergency Services, Prescription Drugs","Cosmetic Surgery, Experimental Treatments",4.0,2025-10-23T20:00:28.344988
plan_CA_20,Care1st Helth Plan Standard Plan 4,33843,Care1st Helth Plan,CA,355.0,1164.0,individual,ppo,"Preventive Care, Emergency Services, Prescription Drugs, Mental Health, Dental","Cosmetic Surgery, Experimental Treatments",3.6,2025-10-23T20:00:28.344988
plan_CA_17,Care1st Helth Plan Gold Plan 1,33843,Care1st Helth Plan,CA,655.0,555.0,individual,ppo,"Preventive Care, Emergency Services, Prescription Drugs, Mental Health, Dental, Vision, Maternity Care","Cosmetic Surgery, Experimental Treatments",4.1,2025-10-23T20:00:28.344988
plan_CA_19,Care1st Helth Plan Gold Plan 3,33843,Care1st Helth Plan,CA,776.0,1082.0,individual,ppo,"Preventive Care, Emergency Services, Prescription Drugs, Mental Health, Dental, Vision, Maternity Care","Cosmetic Surgery, Experimental Treatments",3.8,2025-10-23T20:00:28.344988
plan_CA_3,Chinese Community Health Plan  Basic Plan 1,47579,Chinese Community Health Plan ,CA,265.0,2333.0,individual,ppo,"Preventive Care, Emergency Services, Prescription Drugs","Cosmetic Surgery, Experimental Treatments",4.2,2025-10-23T20:00:28.342987
plan_CA_4,Chinese Community Health Plan  Basic Plan 2,47579,Chinese Community Health Plan ,CA,345.0,1349.0,individual,ppo,"Preventive Care, Emergency Services, Prescription Drugs","Cosmetic Surgery, Experimental Treatments",3.7,2025-10-23T20:00:28.342987
plan_CA_5,Chinese Community Health Plan  Premium Plan 3,47579,Chinese Community Health Plan ,CA,600.0,1496.0,individual,ppo,"Preventive Care, Emergency Services, Prescription Drugs, Mental Health, Dental, Vision, Maternity Care","Cosmetic Surgery, Experimental Treatments",4.0,2025-10-23T20:00:28.342987
